PROVINCIAS,2016,2017,2018,2019,2020,2021
ABANCAY,7.6,0,8.5,4.7,10.4,20.7
ALTO AMAZONAS,4.3,0,3.4,4.2,13.3,9.9
ANDAHUAYLAS,0.6,0,1.8,0,3.6,5.9
AREQUIPA,6.5,7.1,6,5.5,5.9,4.8
ASCOPE,11.6,30.4,22.4,34,13.3,5
AYABACA,16.2,16.6,17,9.2,10.7,17
AZANGARO,0,0,1.4,3.6,3.7,2.2
BARRANCA,4.9,26,35.4,19.3,24.6,26.4
CAJAMARCA,2.2,8.4,6.7,3.4,7.2,6.4
CANCHIS,1.9,2.2,1,2.9,4.9,1
CA„ETE,7.3,3.9,8.8,17.8,13.3,14.4
CHANCHAMAYO,3.2,5.2,8.6,8,5.4,5.8
CHICLAYO,5.8,7.8,6.3,6.6,5.9,6.1
CHINCHA,2.9,5,8.9,6,4.6,4.5
CHOTA,4.7,3,3.6,4.2,3,4.3
CHUCUITO,0,0,0,2,4,0.7
CORONEL PORTILLO,2.8,4.4,3.8,6.7,8.2,8.4
CUSCO,7.4,6.3,9.7,4.3,9.8,10.3
CUTERVO,9.7,11.8,11.2,16.2,10,15
FERRE„AFE,1,3.8,1.9,2.8,0.9,0.9
HUALGAYOC,4,4,2,3,2,1
HUAMANGA,3.1,4.8,6,3.3,8.3,10.3
HUANCABAMBA,4.7,1.7,7.1,4.7,6.3,3.9
HUANCAVELICA,0.7,2,1.9,1.9,8.2,9.4
HUANCAYO,3.6,4.2,1,4.2,5.6,8.1
HUANTA,4,14,6.7,3.8,6.4,6.4
HUANUCO,7.4,9.6,5.9,9.5,15.8,13.9
HUARAL,10,17.3,15.1,15.4,18.9,19.2
HUARAZ,3.8,13.9,9.8,15.2,14.4,14.3
HUAURA,2.4,6.7,6.5,14.3,8.2,10.8
ICA,4.9,7.5,3.1,3.1,5.8,6.8
JAEN,10.6,17.6,12.6,10.6,13.6,6.5
LA CONVENCION,11.2,8.7,10.6,8.9,16.1,17.7
LAMBAYEQUE,0.4,1,0.7,2,0.7,2
LEONCIO PRADO,7.8,10,6.9,14.4,7.5,11.1
LIMA,4.8,4.9,4.8,4.7,5,7.2
MAYNAS,0.9,2.9,2,3.5,1.3,3.1
MORROPON,1.9,3.4,5.7,3.2,1.9,3.8
MOYOBAMBA,15.1,31.7,12.1,13.2,14.8,11.3
PACASMAYO,3,17.1,16.6,10.6,2.9,4.8
PAITA,5,7,9.6,7.1,3.1,3
PASCO,2.6,2.6,1.9,12.1,10.8,5.7
PISCO,3.8,1.6,10.5,16.3,22.8,22.6
PIURA,3,9.2,5.9,4.5,6.7,6.2
PROVINCIA CONSTITUCIONAL DEL CALLAO,10.2,12.6,13.4,14.8,15.2,12.7
PUNO,0.4,4.2,1.2,4.9,2.8,11.2
RIOJA,22.1,12.4,15.4,5.6,14.8,10.7
SAN IGNACIO,5.5,4.1,6.1,7.5,3.4,4.7
SAN MARTIN,5.7,6,1.1,6.5,4.3,3.7
SAN ROMAN,4.4,1.2,5.3,12.2,9.9,8.1
SANCHEZ CARRION,1.4,0,3.3,5.2,9.1,6.4
SANTA,11.3,15.7,20.2,16.3,11.2,9.7
SATIPO,5.1,3.7,5.5,2.6,5.5,11.4
SULLANA,6.5,3.5,7.4,9.8,9.5,5.6
TACNA,5.7,7.3,6.5,6.4,5.4,5
TALARA,3,0.8,5.3,0.8,0.8,4.5
TAMBOPATA,13.4,19.6,16.9,26.8,21.1,29.5
TARMA,3.5,2.7,1.8,1.8,1.9,6.5
TAYACAJA,0.9,2.8,1.9,4.6,5.6,3.7
TRUJILLO,18.3,16.1,20.9,16.4,14.1,11
TUMBES,3.8,20.1,20.5,25.2,29.2,28.9
UTCUBAMBA,10.1,18.5,8.4,7.6,10.1,5.9
VIRU,18.7,23,17.9,19.7,14.5,15.9